provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
10006,2009-07-01,2010-06-30,2010-12-14,2010-12-13,v1996,358.0,632059037.0,129883282.0,502175755.0,138389570.0,34196332.0,16685790.0,293227580.0,12490.0,5143.0,2073.0,42987588.0,55548.0,205 MARENGO,FLORENCE,AL,35631-,LAUDERDALE,ELIZA COFFEE MEMORIAL HOSPITAL,97595621.0,0.202975,2313804.0,1498616.0,65315059.0,,59806111.0,,,,96218333.0,,25575299.0,11124886.0,335234735.0,273501849.0,44387157.0,41491939.0,,,,,,,2010,unique reports
10009,2009-02-01,2010-01-31,2012-09-25,2012-09-25,v1996,130.0,98531930.0,21686738.0,76845192.0,23458185.0,2147443.0,469098.0,42783466.0,1323.0,774.0,106.0,4120130.0,11881.0,201 PINE STREET NW,HARTSELLE,AL,35640,MORGAN,HARTSELLE MEDICAL CENTER,,0.145701,1290621.0,-195000.0,7438041.0,,,,,,1919096.0,,1967574.0,1359678.0,54009209.0,43236260.0,4302189.0,3947932.0,,,,,,,2010,unique reports
10011,2009-07-01,2010-06-30,2011-06-16,2011-06-14,v1996,302.0,614261551.0,202044110.0,412217441.0,203921867.0,44938181.0,27653110.0,306169722.0,14116.0,4295.0,1480.0,37619199.0,34279.0,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235-,JEFFERSON,ST. VINCENT S EAST,30035407.0,0.300394,,10359478.0,93276309.0,749228.0,7709452.0,,186898.0,,20125300.0,,87910966.0,94263930.0,361548412.0,219463875.0,37429130.0,35830241.0,,,,,,,2010,unique reports
10012,2009-04-01,2010-03-31,2013-05-20,2013-05-20,v1996,103.0,225066043.0,55783874.0,169282169.0,59734593.0,9854625.0,4729470.0,94868271.0,4793.0,1819.0,961.0,12308078.0,24677.0,200 MEDICAL CENTER DR,FORT PAYNE,AL,35967,DEKALB,DEKALB REGIONAL MEDICAL CENTER,20479554.0,0.175678,1805484.0,197774.0,25468536.0,77164.0,2280613.0,275893.0,232673.0,13650.0,3916661.0,1319400.0,9487285.0,4438216.0,114102717.0,110963326.0,9381754.0,8777280.0,,,,,,,2010,unique reports
10015,2009-04-01,2010-03-31,2010-09-13,2010-09-13,v1996,27.0,24330705.0,11469216.0,12861489.0,12090588.0,1128813.0,,4465215.0,1156.0,531.0,311.0,2334815.0,,33400 HIGHWAY 43 NORTH,THOMASVILLE,AL,36784-,CLARKE,SOUTHWEST ALABAMA MEDICAL CENTER,1738733.0,0.363834,1759779.0,118559.0,2844139.0,,,,,,2819000.0,,1900341.0,3214093.0,5960494.0,13111055.0,1721458.0,1548522.0,,,,,,,2010,unique reports
10022,2009-04-01,2010-03-31,2012-12-05,2012-12-05,v1996,45.0,48999449.0,15073838.0,33925611.0,18866557.0,2922684.0,,12864832.0,1001.0,593.0,104.0,3202481.0,,100 NORTHWOOD DRIVE,CENTRE,AL,35960,CHEROKEE,CHEROKEE MEDICAL CENTER,5705428.0,0.202635,449026.0,-84499.0,7912764.0,59255.0,717331.0,34705.0,104564.0,3367.0,1243185.0,594547.0,2846967.0,23576280.0,15787515.0,33211932.0,2564073.0,2377947.0,,,,,,,2010,unique reports
10023,2009-07-01,2010-06-30,2010-12-22,2010-12-22,v1996,363.0,966310921.0,227770485.0,738540436.0,249129125.0,67462505.0,56215707.0,513279951.0,18253.0,5423.0,4453.0,63285106.0,41894.0,2105  EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116-,MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,,0.223427,2489540.0,8889997.0,79076889.0,,,,,,186615284.0,,357548921.0,-120489057.0,664185140.0,291436673.0,44818053.0,41542897.0,,,,,,,2010,unique reports
10024,2009-07-01,2010-06-30,2011-01-27,2011-01-25,v1996,255.0,604918405.0,153982106.0,450936299.0,159369386.0,56136095.0,19007981.0,287745077.0,13282.0,5093.0,2847.0,43194643.0,4178.0,1725 PINE STREET,MONTGOMERY,AL,36106-,MONTGOMERY,JACKSON HOSPITAL AND CLINIC  INC,33902392.0,0.230066,5792644.0,4773881.0,110694557.0,1857095.0,39517864.0,,12093612.0,,74101554.0,,42965912.0,13399600.0,366064856.0,221721531.0,38362722.0,34381327.0,,,,,,,2010,unique reports
10025,2009-07-01,2010-06-30,2010-12-22,2010-12-21,v1996,84.0,82003976.0,45040624.0,36963352.0,45907449.0,5459548.0,1745368.0,20317468.0,2880.0,1414.0,470.0,10277379.0,,4800 48TH STREET,VALLEY,AL,36854-,CHAMBERS,GEORGE H. LANIER HOSPITAL,,0.440695,,6227742.0,20299392.0,,,,,,,38007730.0,13783068.0,5605275.0,35418482.0,44107169.0,8905501.0,8229698.0,,,,,,,2010,unique reports
10027,2009-07-01,2010-06-30,2010-11-24,2010-11-19,v1996,20.0,16713526.0,10754151.0,5959375.0,12588910.0,552071.0,,4028858.0,819.0,336.0,150.0,1302977.0,,987 DRAYTON STREET,ELBA,AL,35323,COFFEE,ELBA GENERAL HOSPITAL,,0.677306,2228878.0,5145624.0,3434869.0,,5627317.0,,,,2081517.0,,13191109.0,1255240.0,8426828.0,6631318.0,1077106.0,987200.0,,,,,,,2010,unique reports
10035,2009-07-01,2010-06-30,2010-12-14,2010-12-10,v1996,115.0,362820681.0,93563476.0,269257205.0,97342012.0,23603410.0,7715431.0,137199787.0,7062.0,3143.0,1594.0,25488347.0,34033.0,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35056-,CULLMAN,CULLMAN REGIONAL,26116772.0,0.245345,6889791.0,1794632.0,46897298.0,,,,,,,,34264404.0,14604172.0,177512341.0,170653840.0,23740304.0,21165279.0,,,,,,,2010,unique reports
10036,2009-04-01,2010-03-31,2010-09-09,2010-09-07,v1996,88.0,126640746.0,40596121.0,86044625.0,31760412.0,4755092.0,1385282.0,53348676.0,3709.0,1650.0,711.0,10566718.0,8441.0,849 THREE NOTCH STREET,ANDALUSIA,AL,36420-,COVINGTON,ANDALUSIA REGIONAL HOSPITAL,,0.227106,2620148.0,8733.0,21256764.0,490759.0,7856703.0,430642.0,2724739.0,,8192759.0,1832836.0,5762583.0,1924270.0,60739229.0,60337369.0,8092694.0,7389189.0,,,,,,,2010,unique reports
10038,2009-07-01,2010-06-30,2013-02-27,2013-02-27,v1996,125.0,352681374.0,55332774.0,297348600.0,49900394.0,8984928.0,,181057869.0,4897.0,2310.0,550.0,16088533.0,126683.0,301 EAST 18TH STREET,ANNISTON,AL,36207,CALHOUN,STRINGFELLOW MEMORIAL HOSPITAL,,0.132457,1262802.0,-358864.0,25877751.0,,240895.0,11956809.0,,13000.0,10257174.0,617269.0,10720770.0,2838451.0,190042797.0,162638576.0,14376770.0,13200884.0,,,,,,,2010,unique reports
10039,2009-07-01,2010-06-30,2010-12-22,2010-12-21,v1996,780.0,2880445927.0,681765152.0,2198680775.0,646157823.0,192478119.0,104645241.0,1268472646.0,44520.0,15819.0,7500.0,160623130.0,196732.0,101 SIVLEY ROAD,HUNTSVILLE,AL,35801-,MADISON,HUNTSVILLE HOSPITAL,225556028.0,0.198725,,65875494.0,340952918.0,415236.0,229622895.0,,18296273.0,,147389495.0,,661427202.0,232972210.0,1603298369.0,1277147563.0,152756428.0,141943432.0,,,,,,,2010,unique reports
10043,2009-07-01,2010-06-30,2012-11-20,2012-11-20,v1996,27.0,36176799.0,13364816.0,22811983.0,14874511.0,842859.0,,5015274.0,607.0,248.0,63.0,1448942.0,,1010 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,CHILTON MEDICAL CENTER,4725597.0,0.286158,186859.0,142752.0,2852623.0,161240.0,921899.0,,,,1336897.0,,1864371.0,1866919.0,5970388.0,30206412.0,1197296.0,1126081.0,,,,,,,2010,unique reports
10046,2009-07-01,2010-06-30,2012-02-06,2012-01-18,v1996,256.0,692385000.0,111968000.0,580417000.0,89742282.0,33727000.0,,404600000.0,7607.0,4081.0,659.0,32981118.0,137336.0,600 SOUTH 3RD STREET,GADSDEN,AL,35901,ETOWAH,RIVERVIEW REGIONAL MEDICAL CENTER,,0.125965,1860370.0,-2536823.0,20727767.0,290934.0,17944104.0,152238.0,1015575.0,,20527749.0,,17070894.0,5748694.0,438318072.0,254066558.0,37583708.0,34719230.0,,,,,,,2010,unique reports
10050,2009-07-01,2010-06-30,2010-12-27,2010-12-20,v1996,40.0,54250730.0,17338959.0,36911771.0,20645340.0,2745322.0,919165.0,17630596.0,1620.0,122.0,137.0,3938669.0,12377.0,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,ST. VINCENT S BLOUNT,4951740.0,0.30662,4943562.0,-27529.0,13870930.0,100800.0,3319685.0,,22133.0,,1027767.0,,-38238446.0,928907.0,21420155.0,32317062.0,4937898.0,4478359.0,,,,,,,2010,unique reports
10054,2009-07-01,2010-06-30,2013-02-19,2013-02-19,v1996,109.0,269946427.0,42988474.0,226957953.0,45370350.0,10361939.0,1916663.0,119311321.0,4322.0,1705.0,634.0,10220434.0,,1874 BELTLINE RD. SW,DECATUR,AL,35601,MORGAN,PARKWAY MEDICAL CENTER,,0.11384,1512684.0,186745.0,22240392.0,,4535064.0,,,,,,5881583.0,2964693.0,134099080.0,130157446.0,8245367.0,7757993.0,,,,,,,2010,unique reports
10055,2009-07-01,2010-06-30,2010-12-20,2010-12-16,v1996,235.0,1009331794.0,210699660.0,798632134.0,193147006.0,47543900.0,14716724.0,401701077.0,11694.0,5071.0,1288.0,42299272.0,32184.0,4370 WEST MAIN STREET,DOTHAN,AL,36302-,HOUSTON,FLOWERS HOSPITAL,34184689.0,0.147586,,-283952.0,84436070.0,249460.0,4573127.0,,1034561.0,,11144023.0,1919981.0,31157307.0,72095546.0,463961700.0,526418907.0,39481727.0,36098977.0,,,,,,,2010,unique reports
