provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
340041,2008-10-01,2009-09-30,2012-02-09,2012-02-09,v1996,110.0,245326011.0,84650729.0,160675282.0,87529303.0,5665463.0,2377290.0,77384082.0,4151.0,1699.0,1367.0,15817488.0,33195.0,321 MULBERRY STREET,LENOIR,NC,28645,CALDWELL,CALDWELL MEMORIAL HOSPITAL,16518358.0,0.326722,2830411.0,10684200.0,17609528.0,,47629815.0,,,,,,30590624.0,12727470.0,88241970.0,132887970.0,16626947.0,15067508.0,,,,,,,2009,unique reports
340042,2008-10-01,2009-09-30,2012-02-09,2012-02-09,v1996,162.0,289243362.0,111613437.0,177629925.0,111928428.0,16581890.0,2960286.0,94765013.0,9044.0,2469.0,2518.0,18923326.0,8340.0,241 NEW RIVER DRIVE,JACKSONVILLE,NC,28540,ONSLOW,ONSLOW MEMORIAL HOSPITAL,32105889.0,0.352381,46366478.0,2342215.0,68824424.0,,,,,,,,24185137.0,22202570.0,112127028.0,173119852.0,23396120.0,21039633.0,,,,,,,2009,unique reports
340049,2009-01-01,2009-12-31,2011-04-20,2011-03-31,v1996,18.0,87590066.0,40587402.0,47002664.0,31380373.0,1936292.0,,45142668.0,1451.0,536.0,46.0,5630825.0,,3916 BEN FRANKLIN BLVD,DURHAM,NC,27701,DURHAM,NORTH CAROLINA SPECIALTY HOSPITAL,188267.0,0.346059,2160676.0,1893077.0,6218283.0,,,,,,3528761.0,,8908618.0,3018380.0,47078959.0,40511106.0,7012727.0,6216444.0,,,,,,,2009,unique reports
340050,2008-10-01,2009-09-30,2012-05-03,2012-05-03,v1996,318.0,267964473.0,267964473.0,,277515351.0,154006008.0,,,14453.0,5907.0,5534.0,57583688.0,56890.0,300 W. 27TH STREET,LUMBERTON,NC,28358-3075,ROBESON,S.E. REG L MEDICAL CENTER,63794196.0,0.312916,24187301.0,12571201.0,125485517.0,,160017072.0,,,,,,57534463.0,40093231.0,308542791.0,308008938.0,55428622.0,51379229.0,,,,,,,2009,unique reports
340051,2008-10-01,2009-09-30,2012-02-08,2012-02-06,v1996,94.0,219002427.0,82352126.0,136650301.0,96442056.0,14288923.0,3256241.0,67943617.0,5142.0,2723.0,748.0,20654949.0,20136.0,336 DEERFIELD ROAD,BOONE,NC,28607,WATAUGA,WATAUGA MEDICAL CENTER,15690468.0,0.356817,1342766.0,18943190.0,67383938.0,,,,,,,,39303544.0,13018019.0,88507428.0,129186761.0,22503183.0,20052907.0,,,,,,,2009,unique reports
340053,2009-01-01,2009-12-31,2012-04-17,2012-04-03,v1996,463.0,1326649805.0,558982119.0,767667686.0,517671339.0,137284821.0,22314094.0,601244281.0,32920.0,8125.0,7104.0,89501228.0,116213.0,200 HAWTHORNE LANE,CHARLOTTE,NC,28231-1726,MECKLENBURG,PRESBYTERIAN HOSPITAL,83790944.0,0.331125,25246723.0,476548.0,217457665.0,3739827.0,143914593.0,1086976.0,11174481.0,2225883.0,137700665.0,,91346953.0,-66671185.0,800109306.0,488452216.0,92075814.0,87556932.0,,,,,,,2009,unique reports
340055,2009-01-01,2009-12-31,2012-06-05,2012-06-05,v1996,131.0,183130198.0,63345385.0,119784813.0,65566620.0,8023818.0,1709223.0,41108913.0,2275.0,1256.0,223.0,9184180.0,5034.0,720 MALCOLM BLVD,VALDESE,NC,28690,BURKE,VALDESE GENERAL HOSPITAL,13044874.0,0.274902,3343923.0,-341386.0,52001580.0,15265956.0,,36043760.0,,,106182.0,,15964600.0,14202417.0,55119040.0,124956437.0,10352058.0,8805315.0,,,,,,,2009,unique reports
340060,2008-10-01,2009-09-30,2012-02-09,2012-02-08,v1996,108.0,214458184.0,101226599.0,113231585.0,103049375.0,11197768.0,2139082.0,55239565.0,5719.0,2235.0,1152.0,15075430.0,89557.0,117 EAST KINGS HWY,EDEN,NC,27288,ROCKINGHAM,MOREHEAD MEMORIAL HOSPITAL,19584503.0,0.354461,2508676.0,8293198.0,47165197.0,747682.0,17973455.0,539257.0,3969965.0,123107.0,28198286.0,,25983889.0,26816077.0,78300762.0,114136691.0,11824409.0,10896813.0,,,,,,,2009,unique reports
340064,2008-10-01,2009-09-30,2012-05-23,2012-05-22,v1996,118.0,169077616.0,66216627.0,102860989.0,66310047.0,7961317.0,2426728.0,47402419.0,4447.0,1873.0,1166.0,13535206.0,49789.0,1370 WEST D STREET,NORTH WILKESBORO,NC,28659,WILKES,WILKES REGIONAL MEDICAL CENTER,10893060.0,0.32887,4006098.0,4578636.0,37902622.0,294237.0,15379343.0,1663971.0,,,25907896.0,,16445984.0,11312026.0,61159483.0,99929721.0,11330947.0,10208057.0,,,,,,,2009,unique reports
340068,2008-10-01,2009-09-30,2012-04-17,2012-04-11,v1996,154.0,162785998.0,73154300.0,89631698.0,73006261.0,17764463.0,3045021.0,56457364.0,5368.0,2813.0,1684.0,23340544.0,66978.0,500 JEFFERSON STREET,WHITEVILLE,NC,28472,COLUMBUS,COLUMBUS REGIONAL HEALTHCARE SYSTEM,3903365.0,0.374528,4003763.0,16195138.0,30775337.0,184340.0,12821725.0,11958.0,856417.0,,26751489.0,,26490962.0,11437381.0,75631335.0,82787865.0,21586199.0,20117423.0,,,,,,,2009,unique reports
