provider_number,fy_start,fy_end,date_processed,date_created,data_source,beds,tot_charges,net_pat_rev,tot_discounts,tot_operating_exp,ip_charges,icu_charges,ancillary_charges,tot_discharges,mcare_discharges,mcaid_discharges,tot_mcare_payment,secondary_mcare_payment,street,city,state,zip,county,name,uncomp_care,cost_to_charge,new_cap_ass,cash,fixed_assets,depr_land,depr_bldg,depr_lease,depr_fixed_equip,depr_auto,depr_major_equip,depr_minor_equip,current_assets,current_liabilities,pps_ip_charges,pps_op_charges,pps_mcare_cost,pps_pgm_cost,hvbp_payment,hrrp_payment,tot_uncomp_care_charges,tot_uncomp_care_partial_pmts,bad_debt,depr_HIT,year,source
10006,2018-07-01,2019-06-30,2021-06-03,2021-06-02,v2010,233.0,890905058.0,170503663.0,720401395.0,157276267.0,45637441.0,28686405.0,400130427.0,12472.0,5017.0,2723.0,46266963.0,53692.0,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,NORTH ALABAMA MEDICAL CENTER,,0.14966,253658516.0,-2063700.0,306510802.0,-511051.0,-14281619.0,,-572813.0,,-18449560.0,,39924192.0,14380068.0,,,,,-314766.0,570798.0,9483678.0,,40509874.0,,2019,unique reports
10011,2018-07-01,2019-06-30,2022-02-16,2022-02-14,v2010,309.0,1195134110.0,205675124.0,989458986.0,217524949.0,80879360.0,75040090.0,474668938.0,14059.0,2931.0,1623.0,35280693.0,79161.0,50 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235-,JEFFERSON,ST. VINCENTS EAST,,0.161122,10106572.0,-125766.0,79244083.0,-2415273.0,-36291631.0,-1511375.0,-380681.0,,-43571252.0,-4333308.0,28098348.0,51683567.0,,,,,-120041.0,50319.0,95433242.0,,21750065.0,,2019,unique reports
10012,2018-04-01,2019-03-31,2022-05-13,2022-05-12,v2010,97.0,456842163.0,52443684.0,404398479.0,52503885.0,12925348.0,6627557.0,138902791.0,3207.0,1058.0,759.0,8762798.0,8665.0,200 MEDICAL CENTER DRIVE,FORT PAYNE,AL,35967,DEKALB,DEKALB REGIONAL MEDICAL CENTER,,0.102488,611535.0,-1257368.0,18565342.0,-520842.0,-7513694.0,-2002461.0,-2381922.0,-18813.0,-9531396.0,-3205880.0,12310824.0,5593634.0,,,,,-21307.0,60505.0,10775243.0,,13184212.0,,2019,unique reports
10022,2018-06-01,2019-06-30,2020-12-23,2020-12-18,v2010,45.0,83753824.0,10776826.0,72976998.0,17153843.0,8975681.0,,9972542.0,654.0,252.0,193.0,1474200.0,,100 NORTHWOOD DRIVE,CENTRE,AL,35960-,CHEROKEE,CHEROKEE MEDICAL CENTER,,0.244914,1413190.0,380592.0,1370922.0,,-1862.0,,-8576.0,,-31829.0,,3254545.0,9463641.0,,,,,15744.0,84.0,407981.0,,4367059.0,,2019,unique reports
10023,2018-07-01,2019-06-30,2021-08-11,2021-08-11,v2010,320.0,1515366953.0,448866645.0,1066500308.0,465304054.0,149771631.0,,571699106.0,17309.0,4134.0,3225.0,54382028.0,107846.0,2105  EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116-,MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,,0.273771,6797473.0,6225858.0,101088316.0,-5152380.0,-120417646.0,,-2423931.0,,-99266340.0,,78143307.0,84658819.0,,,,,-165233.0,431759.0,28323456.0,,60169520.0,,2019,unique reports
10032,2018-07-01,2019-01-08,2019-07-10,2019-07-02,v2010,15.0,17131766.0,3485145.0,13646621.0,6103501.0,1975587.0,,553454.0,128.0,42.0,12.0,243837.0,,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,RANDOLPH,TANNER MEDICAL CENTER-EAST ALABAMA,,0.407503,517828.0,6013647.0,23314862.0,-152156.0,-802557.0,,,,-1111289.0,,7408250.0,12602014.0,,,,,,15.0,1199918.0,5506.0,2582307.0,,2019,unique reports
10035,2018-07-01,2019-06-30,2021-01-15,2021-01-15,v2010,145.0,535354444.0,123298628.0,412055816.0,118881755.0,25026775.0,19758709.0,162638057.0,7771.0,2849.0,1412.0,27370467.0,41661.0,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35056,CULLMAN,CULLMAN REGIONAL,,0.195858,12669696.0,21661706.0,63821958.0,,-83003918.0,,,,,,41417164.0,15170388.0,,,,,-58665.0,354460.0,7658913.0,,37770147.0,,2019,unique reports
10036,2018-04-01,2019-03-31,2021-06-03,2021-06-02,v2010,83.0,274420331.0,40135251.0,234285080.0,42357187.0,23283728.0,7296782.0,68810671.0,2882.0,1336.0,651.0,9013247.0,,849 THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,ANDALUSIA REGIONAL HOSPITAL,,0.12134,263420.0,31142.0,17796167.0,-647369.0,-12106519.0,-2653848.0,-4643729.0,,-10278653.0,-5161912.0,6595277.0,2727812.0,,,,,69279.0,56494.0,,,14065486.0,,2019,unique reports
10039,2018-07-01,2019-06-30,2021-01-28,2021-01-28,v2010,877.0,5113560272.0,1006127983.0,4107432289.0,1085416118.0,247173096.0,188153700.0,2130626231.0,49884.0,14162.0,10706.0,172782706.0,362529.0,101 SIVLEY ROAD,HUNTSVILLE,AL,35801-,MADISON,HUNTSVILLE HOSPITAL,,0.175131,29513458.0,66789792.0,419481810.0,,,,,,,,764249511.0,357644080.0,,,,,-736130.0,903480.0,75084194.0,170339.0,272704148.0,,2019,unique reports
10056,2018-07-01,2019-06-30,2022-02-16,2022-02-14,v2010,400.0,2295346906.0,440107874.0,1855239032.0,437254551.0,122793135.0,67588195.0,747130056.0,21302.0,4869.0,6032.0,56704321.0,83500.0,810 ST VINCENTS DRIVE,BIRMINGHAM,AL,35205-,JEFFERSON,ST VINCENTS BIRMINGHAM,,0.167969,122006258.0,1119090.0,151182774.0,-5511599.0,-163188579.0,-368400.0,-14737255.0,-291777.0,-204650892.0,-10167589.0,55140327.0,195263507.0,,,,,-8977.0,289379.0,84179483.0,,21092980.0,,2019,unique reports
